Title,First Paragraph
Martin Luther,"Martin Luther was a German priest, theologian, author, hymnwriter, professor, and Augustinian friar. Luther was the seminal figure of the Protestant Reformation, and his theological beliefs form the basis of Lutheranism. He is regarded as one of the most influential figures in Western and Christian history."
Amitabh Bachchan,"Amitabh Bachchan is an Indian actor who works in Hindi cinema. With a cinematic journey spanning over five decades, he has played pivotal roles in over 200 films. Widely recognised as one of the most accomplished and influential actors in the history of Indian cinema. Bachchan is often hailed as the Shahenshah of Bollywood, Sadi Ke Mahanayak, Star of the Millennium, or simply Big B. His dominance in the Indian film industry during the 1970s–80s led the French director François Truffaut to describe it as a ""one-man industry""."
Gerald Ford,"Gerald Rudolph Ford Jr. was an American politician who served as the 38th president of the United States from 1974 to 1977. He previously served as the leader of the Republican Party in the U.S. House of Representatives from 1965 to 1973, and as the 40th vice president under President Richard Nixon from 1973 to 1974. Ford succeeded to the presidency when Nixon resigned in 1974, but was defeated for election to a full term in 1976. Ford is the only person to serve as President and Vice President without being elected to either office."
Richard Nixon,"Richard Milhous Nixon was the 37th president of the United States, serving from 1969 to 1974. A member of the Republican Party, he previously served as a representative and senator from California and as the 36th vice president from 1953 to 1961 under President Dwight D. Eisenhower. His presidency saw the reduction of U.S. involvement in the Vietnam War, détente with the Soviet Union and China, the Apollo 11 Moon landing, and the establishment of the Environmental Protection Agency and Occupational Safety and Health Administration. Nixon's second term ended early when he became the only U.S. president to resign from office, as a result of the Watergate scandal."
Lyndon B. Johnson,"Lyndon Baines Johnson, often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969. He became president after the assassination of John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963. A Democrat from Texas, Johnson also served as a U.S. representative and U.S. senator."
Elizabeth II,"Elizabeth II was Queen of the United Kingdom and other Commonwealth realms from 6 February 1952 until her death in 2022. She was queen regnant of 32 sovereign states over the course of her lifetime and remained the monarch of 15 realms by the time of her death. Her reign of over 70 years is the longest of any British monarch, the longest of any female monarch, and the second longest verified reign of any monarch of a sovereign state in history."
John F. Kennedy,"John Fitzgerald Kennedy, often referred to as JFK, was an American politician who served as the 35th president of the United States from 1961 until his assassination in 1963. He was the youngest person elected president. Kennedy served at the height of the Cold War, and the majority of his foreign policy concerned relations with the Soviet Union and Cuba. A Democrat, Kennedy represented Massachusetts in both houses of the U.S. Congress prior to his presidency."
Gregorio Aglipay,"Gregorio Aglipay Cruz y Labayán was a Filipino former Roman Catholic priest and revolutionary who became the first head of the Iglesia Filipina Independiente (IFI), the first-ever wholly Filipino-led independent Christian Church in the Philippines in the form of a nationalist church."
Paciano Rizal,"Paciano Rizal Mercado y Alonso Realonda was a Filipino general and revolutionary, and the older brother of José Rizal, the national hero of the Philippines."
Tito Sotto,"Vicente Castelo Sotto III, professionally known as Tito Sotto, is a Filipino politician, entertainer and athlete who served as Senate President from 2018 to 2022. Before that, he had two stints each as Senate Majority Leader and Senate Minority Leader. He served a total of four terms in the Senate: 1992 to 2004 and 2010 to 2022, tying the record for the longest-serving Senator with Lorenzo Tañada and Franklin Drilon. In between his stints in the Senate, he led the Dangerous Drugs Board for a year. He became the Vice Mayor of Quezon City from 1988 to 1992, and later unsuccessfully ran for vice president in the 2022 elections as Panfilo Lacson's running mate."
